OBJECTID;ADDRESS;ID;POINT_X;POINT_Y;NEAR_FID;NEAR_DIST;NEAR_X;NEAR_Y
1;Москва, Алтуфьевское шоссе, д.74;18687;37.588789;55.890339;184;0.002865;37.590074;55.892902
2;Москва, Алтуфьевское шоссе, д.78;18688;37.588753;55.892354;184;0.001428;37.590074;55.892902
3;Москва, Алтуфьевское шоссе, д.82;18689;37.588825;55.894317;33;0.001455;37.590199;55.893836
4;Москва, Алтуфьевское шоссе, д.86;18690;37.58887;55.89714;177;0.001022;37.589413;55.896273
5;Москва, Лескова ул, д.10;18691;37.599398;55.897633;58;0.003295;37.598666;55.894421
6;Москва, Лескова ул, д.10А;18692;37.598708;55.896474;58;0.002053;37.598666;55.894421
7;Москва, Лескова ул, д.10Б;18693;37.597612;55.896584;57;0.001649;37.595963;55.89653
8;Москва, Лескова ул, д.10В;18694;37.601537;55.897659;58;0.004328;37.598666;55.894421
9;Москва, Лескова ул, д.12;18695;37.602812;55.897428;60;0.003939;37.605735;55.894785
10;Москва, Лескова ул, д.6;18696;37.59321;55.897694;57;0.002989;37.595963;55.89653
11;Москва, Лескова ул, д.6А;18697;37.594495;55.896624;57;0.001471;37.595963;55.89653
12;Москва, Лескова ул, д.8;18698;37.596048;55.897584;57;0.001057;37.595963;55.89653
13;Москва, Мурановская ул, д.11;18699;37.599022;55.893198;58;0.001273;37.598666;55.894421
14;Москва, Мурановская ул, д.13;18700;37.59984;55.894177;58;0.001199;37.598666;55.894421
15;Москва, Мурановская ул, д.13Б;18701;37.597513;55.894217;58;0.00117;37.598666;55.894421
16;Москва, Мурановская ул, д.15;18702;37.601177;55.894232;58;0.002519;37.598666;55.894421
17;Москва, Мурановская ул, д.17;18703;37.601465;55.895055;58;0.00287;37.598666;55.894421
18;Москва, Мурановская ул, д.17Б;18704;37.597522;55.895409;58;0.001511;37.598666;55.894421
19;Москва, Мурановская ул, д.19;18705;37.602256;55.895847;59;0.00327;37.603845;55.892989
20;Москва, Мурановская ул, д.19Б;18706;37.599795;55.896215;58;0.00212;37.598666;55.894421
21;Москва, Мурановская ул, д.21;18707;37.602553;55.897028;60;0.003893;37.605735;55.894785
22;Москва, Мурановская ул, д.21А;18708;37.600997;55.897008;58;0.003483;37.598666;55.894421
23;Москва, Мурановская ул, д.3;18709;37.594962;55.890541;43;0.00205;37.593082;55.89136
24;Москва, Мурановская ул, д.7;18710;37.597612;55.891587;58;0.003023;37.598666;55.894421
25;Москва, Мурановская ул, д.7Б;18711;37.595195;55.891931;43;0.002188;37.593082;55.89136
26;Москва, Мурановская ул, д.9;18712;37.59903;55.892606;58;0.00185;37.598666;55.894421
27;Москва, Пришвина ул, д.3;18713;37.592446;55.890139;43;0.001376;37.593082;55.89136
28;Москва, Пришвина ул, д.7/1;18714;37.595609;55.889871;43;0.002933;37.593082;55.89136
29;Москва, Шенкурский проезд, д.10;18715;37.591359;55.895276;33;0.00185;37.590199;55.893836
30;Москва, Шенкурский проезд, д.10Б;18716;37.595518;55.894414;54;0.001605;37.593917;55.894307
31;Москва, Шенкурский проезд, д.10В;18717;37.596533;55.894414;58;0.002132;37.598666;55.894421
32;Москва, Шенкурский проезд, д.11;18718;37.590056;55.894667;33;0.000843;37.590199;55.893836
33;Москва, Шенкурский проезд, д.12;18719;37.591431;55.896306;177;0.002018;37.589413;55.896273
34;Москва, Шенкурский проезд, д.12А;18720;37.593101;55.895499;54;0.001443;37.593917;55.894307
35;Москва, Шенкурский проезд, д.14;18721;37.591683;55.897332;177;0.002504;37.589413;55.896273
36;Москва, Шенкурский проезд, д.2;18722;37.591216;55.890445;43;0.002077;37.593082;55.89136
37;Москва, Шенкурский проезд, д.4;18723;37.591315;55.891708;184;0.001721;37.590074;55.892902
38;Москва, Шенкурский проезд, д.6;18724;37.591368;55.89291;184;0.001295;37.590074;55.892902
39;Москва, Шенкурский проезд, д.6Б;18725;37.594215;55.892409;43;0.001545;37.593082;55.89136
40;Москва, Шенкурский проезд, д.8;18726;37.591368;55.894;33;0.001181;37.590199;55.893836
41;Москва, Шенкурский проезд, д.8Б;18727;37.595401;55.893435;54;0.001722;37.593917;55.894307
42;Москва, Белякова ул, д.20, стр.1;18728;37.558616;55.908197;19;0.006034;37.552777;55.906675
43;Москва, Белякова ул, д.23, стр.1;18729;37.558175;55.907918;19;0.00554;37.552777;55.906675
44;Москва, Водопьянова ул, д.13, стр.1;18730;37.563169;55.905592;37;0.003932;37.566767;55.904003
45;Москва, Водопьянова ул, д.15, стр.1;18731;37.562586;55.905007;37;0.0043;37.566767;55.904003
46;Москва, Громова ул, д.7, стр.1;18732;37.562434;55.907849;37;0.005793;37.566767;55.904003
47;Москва, Каманина ул, д.1, стр.1;18733;37.554995;55.906522;19;0.002224;37.552777;55.906675
48;Москва, Каманина ул, д.7, стр.1;18734;37.555669;55.907157;19;0.002932;37.552777;55.906675
49;Москва, Кренкеля ул, д.12, стр.2;18735;37.560368;55.901001;164;0.006524;37.554359;55.903542
50;Москва, Леваневского ул, д.10, стр.1;18736;37.560987;55.903508;37;0.005801;37.566767;55.904003
51;Москва, Леваневского ул, д.14, стр.1;18737;37.560251;55.903796;164;0.005897;37.554359;55.903542
52;Москва, Леваневского ул, д.2-4, стр.1;18738;37.562784;55.902786;37;0.004164;37.566767;55.904003
53;Москва, Леваневского ул, д.9-11, стр.1;18739;37.560386;55.902998;164;0.006051;37.554359;55.903542
54;Москва, Молокова ул, д.1, корп.А, стр.1;18740;37.557053;55.903201;164;0.002715;37.554359;55.903542
55;Москва, Молокова ул, д.10, стр.1;18741;37.560555;55.904482;37;0.006229;37.566767;55.904003
56;Москва, Молокова ул, д.14, стр.1;18742;37.561624;55.905275;37;0.005296;37.566767;55.904003
57;Москва, Молокова ул, д.18, стр.1;18743;37.562208;55.905925;37;0.004947;37.566767;55.904003
58;Москва, Молокова ул, д.3/18, стр.10;18744;37.558247;55.904462;164;0.003996;37.554359;55.903542
59;Москва, Молокова ул, д.33, стр.1;18745;37.561967;55.906986;37;0.005651;37.566767;55.904003
60;Москва, Молокова ул, д.8, стр.1;18746;37.560394;55.904442;164;0.006102;37.554359;55.903542
61;Москва, Псковская ул, д.5;18747;37.549416;55.904064;19;0.004255;37.552777;55.906675
62;Москва, Псковская ул, д.5, корп.2;18748;37.549084;55.904755;19;0.00416;37.552777;55.906675
63;Москва, Псковская ул, д.7;18749;37.55062;55.904734;19;0.0029;37.552777;55.906675
64;Москва, Псковская ул, д.9;18750;37.552048;55.905745;19;0.001181;37.552777;55.906675
65;Москва, Абрамцевская ул, д.11, корп.1;18751;37.569565;55.902994;37;0.002975;37.566767;55.904003
66;Москва, Абрамцевская ул, д.11, корп.2;18752;37.570248;55.905032;37;0.003631;37.566767;55.904003
67;Москва, Абрамцевская ул, д.11, корп.3;18753;37.573241;55.905548;29;0.001618;37.574642;55.904738
68;Москва, Абрамцевская ул, д.14;18754;37.574471;55.900056;155;0.003558;37.57798;55.900649
69;Москва, Абрамцевская ул, д.14, корп.1;18755;37.574883;55.901015;155;0.003117;37.57798;55.900649
70;Москва, Абрамцевская ул, д.15, корп.1;18756;37.571525;55.906743;29;0.003706;37.574642;55.904738
71;Москва, Абрамцевская ул, д.15, корп.2;18757;37.572378;55.906148;29;0.002667;37.574642;55.904738
72;Москва, Абрамцевская ул, д.15, корп.3;18758;37.573248;55.906759;29;0.002454;37.574642;55.904738
73;Москва, Абрамцевская ул, д.16Б;18759;37.576627;55.901914;155;0.001852;37.57798;55.900649
74;Москва, Абрамцевская ул, д.18;18760;37.574543;55.902858;29;0.001882;37.574642;55.904738
75;Москва, Абрамцевская ул, д.20;18761;37.574795;55.903407;29;0.001338;37.574642;55.904738
76;Москва, Абрамцевская ул, д.22;18762;37.575629;55.90368;29;0.001446;37.574642;55.904738
77;Москва, Абрамцевская ул, д.24;18763;37.574596;55.904296;29;0.000444;37.574642;55.904738
78;Москва, Абрамцевская ул, д.24, корп.1;18764;37.575756;55.905355;29;0.001273;37.574642;55.904738
79;Москва, Абрамцевская ул, д.7;18765;37.573276;55.902772;29;0.002393;37.574642;55.904738
80;Москва, Абрамцевская ул, д.9, корп.1;18766;37.571992;55.90307;29;0.003131;37.574642;55.904738
81;Москва, Абрамцевская ул, д.9, корп.2;18767;37.569728;55.90372;37;0.002974;37.566767;55.904003
82;Москва, Абрамцевская ул, д.9, корп.3;18768;37.5705;55.904174;37;0.003737;37.566767;55.904003
83;Москва, Алтуфьевское шоссе, д.93;18769;37.585807;55.900192;170;0.003844;37.583945;55.903556
84;Москва, Алтуфьевское шоссе, д.93, корп.1;18770;37.585376;55.901086;170;0.002854;37.583945;55.903556
85;Москва, Алтуфьевское шоссе, д.95Б;18771;37.583571;55.901833;170;0.001762;37.583945;55.903556
86;Москва, Алтуфьевское шоссе, д.97;18772;37.585591;55.902842;170;0.001794;37.583945;55.903556
87;Москва, Алтуфьевское шоссе, д.97, корп.1;18773;37.584883;55.90532;170;0.001998;37.583945;55.903556
